phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
ICL	other	5	19930705-1	Ilyushin 114	Ilyushin Design Bureau	UUBW		Moskva-Zhukovsky (Ramenskoye) Airport (UUBW), Russia	?
APR	passDomestic	41	19930701-1	Fokker F-28 Fellowship 3000	Merpati Nusantara Airlines	AMQ	SOQ	Ambon-Pattimura Airport (AMQ/WAPP), Indonesia	Sorong-Jefman Airport (SOQ/WASS), Indonesia
UNK	military	2	19930706-0	CASA C-212-A62 Aviocar 200	Transkei Defence Force			?	?
APR	military	11	19930708-0	Ilyushin 76M	Russian Air Force	PKV	PKV	Pskov Airport (PKV), Russia	Pskov Airport (PKV), Russia
LDG	passDomestic	35	19931226-0	Antonov 26B	Kuban Airlines	KRR	LWN	Krasnodar Airport (KRR/URKK), Russia	Gyumri-Leninakan Airport (LWN), Armenia
LDG	other	1	19931228-1	Shorts SC.7 Skyvan 3-100	Peterborough Parachute Centre	LEAP	LEAP	Ampuriabrava Airport (LEAP), Spain	Ampuriabrava Airport (LEAP), Spain
APR	private	3	19931215-1	Mitusbishi Mu-300 Diamond 1	Whitham Farm Feedyard Inc	KTQK	GLD	Scott City Municipal Airport, KS (KTQK), United States of America	Goodland-Renner Field, KS (GLD), United States of America
ENR	military	30	19931215-2	Lockheed C-130H Hercules	Hukbong Himpapawid ng Pilipinas (Philippine Air Force)	MNL	WNP	Manila-Villamor AB (MNL/RPLL), Philippines	Naga Airport (WNP/RPUN), Philippines
APR	exec	5	19931215-0	IAI 1124A Westwind II	Martin Aviation	POC	SNA	La Verne-Brackett Field, CA (POC), United States of America	Santa Ana-John Wayne International Airport, CA (SNA/KSNA), United States of America
APR	passDomestic	18	19931213-1	Harbin Yunshuji Y-12-II	Lao Aviation		VLPV	?	Phonesavanh Airport (VLPV), Laos
APR	passDomestic	3	19931209-0	de Havilland Canada DHC-6 Twin Otter 300	Air Senegal	CSK	DKR	Cap Skirring Airport (CSK/GOGS), Senegal	Dakar-Yoff Airport (DKR/GOOY), Senegal
ENR	passDomestic	7	19931203-0	Britten-Norman BN-2A-20 Islander	Arctic Wings and Rotors	YUB	YEV	Tuktoyaktuk Airport, NT (YUB/CYUB), Canada	Inuvik/Mike Zubko Airport, NT (YEV/CYEV), Canada
APR	passDomestic	18	19931201-0	British Aerospace 3101 Jetstream 31		MSP	HIB	Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America	Hibbing-Chisholm Airport, MN (HIB/KHIB), United States of America
APR	passInternational	116	19931120-1	Yakovlev 42D		GVA	SKP	Genève-Cointrin Airport (GVA/LSGG), Switzerland	Skopje Airport (SKP/LWSK), Macedonia (FYROM)
APR	cargo	2	19931122-1	Douglas C-47A-65-DL (DC-3C)	Scan Transportes Aéreos - STASA			?	?
APR	cargo	17	19931115-0	Antonov 124-100	Aviastar	DXB	KER	Dubai Airport (DXB/OMDB), United Arab Emirates	Kerman Airport (KER/OIKK), Iran
APR	passDomestic	12	19931113-0	McDonnell Douglas MD-82	China Northern Airlines	PEK	URC	Beijing-Capital Airport (PEK/ZBAA), China	Urumqi Airport (URC/ZWWW), China
ICL	passDomestic	7	19931110-0	Hawker Siddeley HS-748-234 Srs. 2A	Air Manitoba	ZSJ	YWG	Sandy Lake Airport, ON (ZSJ), Canada	Winnipeg International Airport, MB (YWG/CYWG), Canada
UNK	other	1	19931029-0	Antonov 2	?			?	?
APR	passDomestic	6	19931027-1	de Havilland Canada DHC-6 Twin Otter 300	Widerøes Flyveselskap	TRD	OSY	Trondheim-Værnes Airport (TRD/ENVA), Norway	Namsos Airport (OSY/ENNM), Norway
MNV	other	3	19931026-2	Beechcraft 300F Super King Air	Federal Aviation Administration - FAA	KOKV	PHF	Winchester Regional Airport, VA (KOKV), United States of America	Newport News/Williamsburg International Airport, VA (PHF/KPHF), United States of America
LDG	passDomestic	2	19931026-1	McDonnell Douglas MD-82	China Eastern Airlines	SZX	FOC	Shenzhen-Huangtian Airport (SZX/ZGSZ), China	Fuzhou Airport (FOC/ZSFZ), China
ENR	military	3	19931026-0	Embraer P-95 Bandeirante	Força Aérea Brasileira - FAB	SBCO		Porto Alegre-Canoas Air Base, RS (SBCO), Brazil	?
ENR	passDomestic	1	19931025-3	Airbus A310-222	Nigeria Airways	LOS	ABV	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria	Abuja International Airport (ABV/DNAA), Nigeria
ENR	passDomestic	9	19931025-1	GAF Nomad N.22	Hibiscus Air	GTN	ZQN	Mount Cook-Glentanner Airport (GTN/NZGT), New Zealand	Queenstown-Frankton Airport (ZQN/NZQN), New Zealand
UNK	passDomestic	4	19931013-0	IRMA/Britten-Norman BN-2A-20 Islander	Heli Niugini			?	?
STD	passDomestic	1	19930923-1	Tupolev 134A	Transair Georgia	SUI	TBS	Sukhumi-Babusheri Airport (SUI/UGSS), Georgia	Tbilisi-Novo Alexeyevka Airport (TBS/UGGG), Georgia
TOF	private	2	19930929-0	Dassault Falcon 10	Chaillotine Air Service	QBQ	BOD	Besançon-La Vèze Airport (QBQ/LFQM), France	Bordeaux-Mérignac Airport (BOD/LFBD), France
APR	passDomestic	108	19930922-1	Tupolev 154B	Orbi Georgian Airways	TBS	SUI	Tbilisi-Novo Alexeyevka Airport (TBS/UGGG), Georgia	Sukhumi-Babusheri Airport (SUI/UGSS), Georgia
APR	passInternational	27	19930921-0	Tupolev 134A	Transair Georgia	AER	SUI	Adler/Sochi Airport (AER/URSS), Russia	Sukhumi-Babusheri Airport (SUI/UGSS), Georgia
LDG	passInternational	2	19930914-2	Airbus A320-211	Lufthansa	FRA	WAW	Frankfurt International Airport (FRA/EDDF), Germany	Warszawa-Okecie Airport (WAW/EPWA), Poland
APR	military	3	19930914-1	Piaggio PD.808TP	Aeronautica Militare Italiana - AMI		VCE	?	Venice-Marco Polo Airport (VCE/LIPZ), Italy
LDG	passDomestic	1	19930906-0	Cessna 208 Caravan I	Andaman and Nicobar Administration		IXZ	Hut Bay, India	Port Blair Airport (IXZ/VOPB), India
ENR	private	7	19930905-1	Learjet 25D	Cambridge Aviation	HOU	SAF	Houston-William P. Hobby Airport, TX (HOU/KHOU), United States of America	Santa Fe Airport, NM (SAF), United States of America
APR	cargo	2	19930831-1	Douglas R4D-5 (DC-3)	Transoriente Colombia	SSD	VVC	San Felipe Airport (SSD), Colombia	Villavicencio Airport (VVC/SKVV), Colombia
TOF	passDomestic	82	19930828-2	Yakovlev 40	Tajikistan Airlines	UTOD	DYU	Khorog Airport (UTOD), Tajikistan	Dushanbe Airport (DYU/UTDD), Tajikistan
LDG	passDomestic	24	19930826-2	Let L-410UVP-E	Sakha Avia		ADH	Uchur, Russia	Aldan Airport (ADH/UEEA), Russia
ENR	military	6	19930823-0	Antonov 12	Russian Air Force			Engels Air Force Base, Russia	Astrakhan-Privolzhskiy Air Base, Russia
MNV	military	2	19930822-0	Canadair CL-215-1A10	Elleniki Polemikí Aeroporía	LGEL	LGEL	Elefsis AB (LGEL), Greece	Elefsis AB (LGEL), Greece
APR	other	2	19930817-0	Swearingen SA226-TC Metro II	Aviation Services	FRG	HFD	Farmingdale-Republic Field, NY (FRG/KFRG), United States of America	Hartford-Brainard Airport, CT (HFD/KHFD), United States of America
ENR	other	1	19930816-0	Cessna 208B Super Cargomaster	Aviation & Services Europe	TNF	CEQ	Toussus-le-Noble Airport (TNF/LFPN), France	Cannes-Mandelieu Airport (CEQ/LFMD), France
APR	passDomestic	19	19930731-1	Dornier 228-101	Everest Air	KTM	BHR	Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal	Bharatpur Airport (BHR/VNBP), Nepal
APR	other	1	19930730-1	Shorts SC.7 Skyvan 3-100	Hornbill Skyways		MYY	?	Miri Airport (MYY/WBGR), Malaysia
MNV	other	3	19930726-2	Canadair CL-600-2B19 Regional Jet CRJ-100	Bombardier Aerospace	ICT	ICT	Wichita-Mid-Continent Airport, KS (ICT/KICT), United States of America	Wichita-Mid-Continent Airport, KS (ICT/KICT), United States of America
APR	passDomestic	68	19930726-1	Boeing 737-5L9	Asiana Airlines	SEL	MPK	Seoul-Gimpo (Kimpo) International Airport (SEL/RKSS), South Korea	Mokpo Airport (MPK/RKJM), South Korea
TOF	passDomestic	56	19930723-0	British Aerospace BAe-146-300	China Northwest Airlines	INC	PEK	Yinchuan Airport (INC/ZLIC), China	Beijing-Capital Airport (PEK/ZBAA), China
MNV	military	5	19930722-0	Lockheed CC-130E Hercules	Canadian Armed Forces			?	?
UNK	military	4	19930102-1	Dornier 228-101	Indian Coast Guard	VTZ		Vishakhapatnam Airport (VTZ/VEVZ), India	?
LDG	private	5	19940717-1	Yakovlev 40D			BOA	Kinshasa (unknown airport), Congo (Democratic Republic)	Boma Airport (BOA/FZAJ), Congo (Democratic Republic)
ENR	military	1	19940713-0	Antonov 26	Russian Air Force			Kubinka AFB, Russia	?
ENR	exec	11	19940709-0	Beechcraft 200 Super King Air	Punjab Government (India)	IXC	KUU	Chandigarh Airport (IXC/VICG), India	Kulu-Bhuntar Airport (KUU/VIBR), India
MNV	other	5	19940706-0	Antonov 32P		VLC	VLC	Valencia Airport (VLC/LEVC), Spain	Valencia Airport (VLC/LEVC), Spain
APR	passDomestic	37	19940702-0	McDonnell Douglas DC-9-31	USAir	CAE	CLT	Columbia Metropolitan Airport, SC (CAE/KCAE), United States of America	Charlotte-Douglas Airport, NC (CLT/KCLT), United States of America
LDG	passDomestic	80	19940701-0	Fokker F-28 Fellowship 4000	Air Mauritanie	NKC	TIY	Nouakchott Airport (NKC/GQNN), Mauritania	Tidjikja Airport (TIY/GQND), Mauritania
TOF	other	7	19940630-0	Airbus A330-321	Airbus Industrie	TLS	TLS	Toulouse-Blagnac Airport (TLS/LFBO), France	Toulouse-Blagnac Airport (TLS/LFBO), France
APR	passDomestic	17	19940626-0	Fokker F-27 Friendship 400M	Air Ivoire	SPY	ABJ	San-Pédro Airport (SPY/DISP), Cote d'Ivoire	Abidjan-Felix Houphouet Boigny Airport (ABJ/DIAP), Cote d'Ivoire
ENR	passDomestic	7	19940623-1	de Havilland Canada DHC-3 Otter	Wings of Alaska	SPB		Taku Lodge-Taku SPB, AK (TKL), United States of America	Juneau, AK, United States of America
APR	passDomestic	12	19940618-1	Learjet 25D	TAESA	NEW	IAD	New Orleans-Lakefront Airport, LA (NEW/KNEW), United States of America	Washington-Dulles International Airport, DC (IAD/KIAD), United States of America
APR	passDomestic	12	19940618-0	Fokker F-27 Friendship 500F	Merpati Nusantara Airlines	BPN	PLW	Balikpapan-Sepingan Airport (BPN/WALL), Indonesia	Palu-Mutiara Airport (PLW/WAML), Indonesia
APR	other	9	19940613-0	Swearingen SA226-TC Metro II	Aero Cuahonte		UPN	?	Uruapan Airport (UPN/MMPN), Mexico
ENR	passDomestic	160	19940606-1	Tupolev 154M	China Northwest Airlines	XIY	CAN	Xian-Xianyang International Airport (XIY/ZLXY), China	Guangzhou-Baiyun Airport (CAN/ZGGG), China
ICL	passDomestic	7	19940528-0	Douglas C-53D-DO (DC-3)	Transoriente Colombia	VVC	LPE	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	La Primavera Airport (LPE), Colombia
ENR	passDomestic	4	19940523-0	IRMA/Pilatus Britten-Norman BN-2B-27 Islander	Arall Colombia	SJE	VVC	San Jose del Guaviare-Jorge E. González T. Airport (SJE/SKSJ), Colombia	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia
APR	military	2	19940521-1	de Havilland Canada DHC-5D Buffalo	Tanzanian People's Defence Force	DAR	BKZ	Dar Es Salaam International Airport (DAR/HTDA), Tanzania	Bukoba Airport (BKZ/HTBU), Tanzania
LDG	passDomestic	8	19940507-0	Embraer 110EJ Bandeirante	RICO Taxi Aéreo		SJL	São Paulo (unknown airport), SP, Brazil	São Gabriel da Cachoeira Airport, AM (SJL/SBUA), Brazil
APR	passDomestic	8	19940429-0	Cessna 208 Caravan I	Lineas Aéreas de los Libertadores	SKFR	BOG	Quipama-Furatena Airport (SKFR), Colombia	Bogotá-Eldorado Airport (BOG/SKBO), Colombia
APR	passDomestic	2	19940426-1	Cessna 208A Cargomaster	Penta - Pena Transportes Aéreos	ITB	JCR	Itaituba Airport, PA (ITB/SBIH), Brazil	Jacareacanga Airport, PA (JCR/SBEK), Brazil
APR	passInternational	264	19940426-0	Airbus A300B4-622R	China Airlines	TPE	NKM	Taipei-Chiang Kai Shek International Airport (TPE/RCTP), Taiwan	Nagoya-Komaki International Airport (NKM/RJNA), Japan
ENR	passDomestic	10	19940425-1	IRMA/Britten-Norman BN-2A-21 Islander	Dirgantara Air Services	PNK	NPO	Pontianak-Supadio Airport (PNK/WIOO), Indonesia	Nangapinoh Airport (NPO/WIOG), Indonesia
ENR	other	1	19940406-3	Cessna 208B Grand Caravan	Nozaki Sangyo	OKJ	HIW	Okayama Airport (OKJ/RJOB), Japan	Hiroshima West Airport (HIW), Japan
APR	exec	12	19940406-1	Dassault Falcon 50	Rwanda Government	DAR	KGL	Dar Es Salaam International Airport (DAR/HTDA), Tanzania	Kigali Airport (KGL/HRYR), Rwanda
ENR	passDomestic	17	19940406-0	de Havilland Canada DHC-6 Twin Otter 300	Fuerza Aérea Ecuatoriana	SETA	SELT	Taura Airport (SETA), Ecuador	Latacunga Airport (SELT), Ecuador
LDG	passInternational	3	19940404-1	Saab 340B	KLM Cityhopper	AMS	CWL	Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands	Cardiff-Wales Airport (CWL/EGFF), United Kingdom
LDG	other	2	19940325-0	Cessna 500 Citation I	Transportadora Fruyleg	VER		Veracruz-Las Bajadas Airport (VER/MMVR), Mexico	Ciudad Alemán Airport, Mexico
APR	passInternational	4	19940323-1	Cessna 650 Citation VI	Orion Aero Táxi	MAO	BOG	Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG), Brazil	Bogotá-Eldorado Airport (BOG/SKBO), Colombia
ENR	passInternational	75	19940323-0	Airbus A310-304	Aeroflot Russian International Airlines	SVO	HKG	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia	Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong
ICL	passDomestic	6	19940321-2	Britten-Norman BN-2A-21 Islander	Aurukun Air Services	WEI	AUU	Weipa Airport, QLD (WEI/YBWP), Australia	Aurukun Mission Airport, QLD (AUU/YAUR), Australia
UNK	private	1	19940319-1	de Havilland Canada DHC-6 Twin Otter 300	Light Air Transport & Technical Services	TIP	TIP	Tripoli International Airport (TIP/HLLT), Libya	Tripoli International Airport (TIP/HLLT), Libya
ICL	other	2	19940318-1	Grumman G-73T Turbo Mallard	Chalk's International Airlines		EYW	Key West Harbor, FL, United States of America	Key West International Airport, FL (EYW/KEYW), United States of America
ICL	cargo	2	19940318-0	Douglas DC-3C	Salair	GEG	PDX	Spokane International Airport, WA (GEG/KGEG), United States of America	Portland International Airport, OR (PDX/KPDX), United States of America
ENR	military	32	19940317-0	Lockheed C-130H Hercules	Islamic Republic of Iran Air Force - IRIAF		THR	Moskva (unknown airport), Russia	Tehran-Mehrabad Airport (THR/OIII), Iran
ENR	military	8	19940314-0	Lockheed AC-130H Hercules	United States Air Force - USAF	MBA	MGQ	Mombasa-Moi International Airport (MBA/HKMO), Kenya	Mogadishu International Airport (MGQ/HCMM), Somalia
APR	cargo	1	19940309-0	Swearingen SA226-AT Merlin IV	Jetcraft	ARM	TMW	Armidale Airport, NSW (ARM/YARM), Australia	Tamworth Airport, NSW (TMW/YSTW), Australia
STD	other	9	19940308-2	Ilyushin 86	Aeroflot Russian International Airlines			-	-
TOF	private	9	19940308-0	Boeing 737-2R4C	Sahara Airlines	DEL	DEL	Delhi-Indira Gandhi International Airport (DEL/VIDP), India	Delhi-Indira Gandhi International Airport (DEL/VIDP), India
UNK	military	7	19940226-0	IAI Arava 201	Fuerza Aérea Mexicana			?	?
ENR	passDomestic	31	19940225-3	Yakovlev 40	Expresso Aéreo	TGI	LIM	Tingo Maria Airport (TGI/SPGM), Peru	Lima-Jorge Chavez International Airport (LIM/SPIM), Peru
ENR	cargo	1	19940225-1	Vickers 813 Viscount	British World Airways	EDI	CVT	Edinburgh-Turnhouse Airport (EDI/EGPH), United Kingdom	Coventry-Baginton Airport (CVT/EGBE), United Kingdom
APR	cargo	13	19940224-0	Antonov 12BP	Aeroflot	VOG	NAL	Volgograd Airport (VOG/URWW), Russia	Nalchik Airport (NAL), Russia
ENR	cargo	7	19940118-1	Antonov 22	Russian Air Force	KLD	ROV	Tver-Migalovo Airport (KLD/UUEM), Russia	Rostov Airport (ROV/URRR), Russia
APR	other	2	19940127-0	IAI 1124A Westwind II	Millar Western Industries	YEG	YLJ	Edmonton International Airport, AB (YEG/CYEG), Canada	Meadow Lake Airport, SK (YLJ/CYLJ), Canada
APR	other	2	19940118-0	Learjet 24D	Scibe Airlift Cargo Zaire	COO	FIH	Cotonou Airport (COO/DBBB), Benin	Kinshasa-N'Djili Airport (FIH/FZAA), Congo (Democratic Republic)
ENR	passDomestic	125	19940103-2	Tupolev 154M	Baikal Airlines	IKT	DME	Irkutsk Airport (IKT/UIII), Russia	Moskva-Domodedovo Airport (DME/UUDD), Russia
APR	passDomestic	5	19940107-0	British Aerospace 4101 Jetstream 41		IAD	CMH	Washington-Dulles International Airport, DC (IAD/KIAD), United States of America	Columbus-Port Columbus International Airport, OH (CMH/KCMH), United States of America
ICL	other	2	19940102-0	Britten-Norman BN-2A-9 Islander	JSCTD	EOZ		Elorza Airport (EOZ/SVEZ), Venezuela	?
APR	passDomestic	57	19941229-0	Boeing 737-4Y0	THY Turkish Airlines	ESB	VAN	Ankara-Esenboga Airport (ESB/LTAC), Turkey	Van Airport (VAN/LTCI), Turkey
STD	passInternational	7	19941226-0	Airbus A300B2-1C	Air France	ALG	ORY	Algiers-Houari Boumediene Airport (ALG/DAAG), Algeria	Paris-Orly Airport (ORY/LFPO), France
APR	cargo	5	19941221-0	Boeing 737-2D6C		EMA	CVT	East Midlands Airport (EMA/EGNX), United Kingdom	Coventry-Baginton Airport (CVT/EGBE), United Kingdom
ENR	cargo	3	19941219-2	Boeing 707-3F9C	Nigeria Airways	JED	KAN	Jeddah-King Abdulaziz International Airport (JED/OEJN), Saudi Arabia	Kano-Aminu Kano International Airport (KAN/DNKN), Nigeria
APR	cargo	7	19941217-1	Douglas C-47A-10-DK Dakota 3	Servivensa			?	?
ENR	passDomestic	28	19941217-0	de Havilland Canada DHC-6 Twin Otter 200	MAF PNG - Missionary Aviation Fellowship	TBG	SBC	Tabubil Airport (TBG), Papua New Guinea	Selbang Airport (SBC), Papua New Guinea
TOF	cargo	2	19941215-0	Basler Turbo-67 (BT-67)	SL Aviation Services	FNLB		Lobito Airport (FNLB), Angola	?
APR	military	2	19941214-1	Learjet 35A	Phoenix Air	FAT	FAT	Fresno Air Terminal, CA (FAT/KFAT), United States of America	Fresno Air Terminal, CA (FAT/KFAT), United States of America
TOF	passDomestic	1	19941214-0	Learjet 35A	Air Charter	SVO	MQF	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia	Magnitogorsk Airport (MQF/USCM), Russia
APR	passDomestic	15	19941213-0	British Aerospace 3201 Jetstream 32		GSO	RDU	Greensboro/High Point-Piedmont Triad International Airport, NC (GSO/KGSO), United States of America	Raleigh/Durham Airport, NC (RDU/KRDU), United States of America
ENR	passInternational	1	19941210-0	Boeing 747-283B	Philippine Air Lines	CEB	NRT	Cebu Airport (CEB/RPVM), Philippines	Tokyo-Narita Airport (NRT/RJAA), Japan
ICL	cargo	1	19941204-0	Cessna 208B Grand Caravan	Air Team	OSL	BGO	Oslo-Gardermoen Airport (OSL/ENGM), Norway	Bergen-Flesland Airport (BGO/ENBR), Norway
TOF	other	4	19941124-2	de Havilland Canada DHC-6 Twin Otter 300	Kenn Borek Air			Rothera Research Station, Antarctica	Terranova Bay, Antarctica
ENR	passDomestic	7	19941122-1	IRMA/Britten-Norman BN-2A-20 Islander	Southwest Air	SBC	BVP	Selbang Airport (SBC), Papua New Guinea	Bolovip Airport (BVP), Papua New Guinea
ENR	cargo	1	19941116-0	Beechcraft C99	Ameriflight	BUR	OAK	Burbank/Glendale/Pasadena Airport, CA (BUR/KBUR), United States of America	Oakland International Airport, CA (OAK/KOAK), United States of America
LDG	passDomestic	6	19941105-0	Yakovlev 40	Servicios Aéreos Amazonicos		SQU	?	Saposoa Airport (SQU/SPOA), Peru
ENR	cargo	4	19941104-2	de Havilland Canada DHC-6 Twin Otter 100	Trigana Air Service	NBX	OBD	Nabire Airport (NBX/WABI), Indonesia	Obano Airport (OBD), Indonesia
APR	passDomestic	68	19941031-1	ATR-72-212		IND	ORD	Indianapolis International Airport, IN (IND/KIND), United States of America	Chicago-O'Hare International Airport, IL (ORD/KORD), United States of America
TOF	passDomestic	7	19941029-1	Antonov 2R	Yakutavia	UEBB	UEBW	Batagay Airport (UEBB), Russia	Verkhoyansk Airport (UEBW), Russia
APR	cargo	23	19941029-0	Antonov 12A	Aeronika	UUS	UIK	Yuzhno-Sakhalinsk Airport (UUS/UHSS), Russia	Ust-Ilimsk Airport (UIK), Russia
STD	passDomestic	1	19941027-0	Yakovlev 40	Donavia	MCX	ROV	Makhachkala Airport (MCX/URML), Russia	Rostov Airport (ROV/URRR), Russia
UNK	other	3	19941016-0	Antonov 2	?			?	?
ENR	military	21	19941014-0	Lockheed RC-130E Hercules	Força Aérea Brasileira - FAB	GIG	BEL	Rio de Janeiro-Galeão International Airport, RJ (GIG/SBGL), Brazil	Belém/Val-de-Cans International Airport , PA (BEL/SBBE), Brazil
ENR	passDomestic	66	19941012-0	Fokker F-28 Fellowship 1000	Iran Aseman Airlines	IFN	THR	Isfahan-Shahid Beheshti Airport (IFN/OIFM), Iran	Tehran-Mehrabad Airport (THR/OIII), Iran
TOF	cargo	8	19940930-0	Antonov 8	MAP Arsenyev MSZ	UHMG	PVX	Chaybukha (UHMG), Russia	Provedenia Airport (PVX), Russia
TOF	passDomestic	8	19940929-1	Rockwell 1121B Jet Commander	Radeair	COR		Córdoba-Pajas Blancas Airport, CD (COR/SACO), Argentina	Buenos Aires (unknown airport), BA, Argentina
TOF	passDomestic	1	19940926-2	Douglas C-47D	Transporte Aéreo Militar - TAM Paraguay	BFA	ASU	Bahia Negra Airport (BFA), Paraguay	Asunción-Silvio Pettirossi International Airport (ASU/SGAS), Paraguay
ENR	passDomestic	28	19940926-0	Yakovlev 40	Cheremshanka Airlines	KJA	UNIT	Krasnoyarsk Airport (KJA/UNKL), Russia	Tura (UNIT), Russia
ENR	other	2	19940923-1	Embraer 110EJ Bandeirante	Purus Aerotaxi	FEJ	TRQ	Feijó Airport, AC (FEJ), Brazil	Tarauacá Airport, AC (TRQ/SBTK), Brazil
TOF	other	6	19940923-0	Lockheed L-100-30 Hercules		HKG	HLP	Hong Kong-Kai Tak International Airport (HKG/VHHH), Hong Kong	Jakarta-Halim Perdana Kusuma Airport (HLP/WIHH), Indonesia
APR	passInternational	5	19940918-0	BAC One-Eleven 515FB	Oriental Airlines	TUN	TMR	Tunis-Carthage Airport (TUN/DTTA), Tunisia	Tamanrasset-Aguemar Airport (TMR/DAAT), Algeria
ENR	military	4	19940917-1	Learjet 35A	Golden Eagle Aviation			?	?
ICL	passDomestic	3	19940917-0	de Havilland Canada DHC-6 Twin Otter 100	Pacific Coastal Airlines			Fish Egg Inlet, BC, Canada	Pruth Bay, BC, Canada
APR	passDomestic	2	19940913-0	de Havilland Canada DHC-6 Twin Otter 300	Aerocontractors Company of Nigeria	LOS	ABV	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria	Abuja International Airport (ABV/DNAA), Nigeria
MNV	other	8	19940909-1	Tupolev 134AK	MAP Zhukovski LII	UUBW	UUBW	Moskva-Zhukovsky (Ramenskoye) Airport (UUBW), Russia	Moskva-Zhukovsky (Ramenskoye) Airport (UUBW), Russia
APR	passDomestic	132	19940908-0	Boeing 737-3B7	USAir	ORD	PIT	Chicago-O'Hare International Airport, IL (ORD/KORD), United States of America	Pittsburgh International Airport, PA (PIT/KPIT), United States of America
MNV	other	5	19940827-0	CASA C-212 Aviocar 200	US Drug Enforcement Administration - DEA		PCL	?	Pucallpa Airport (PCL/SPCL), Peru
ENR	passDomestic	44	19940821-1	ATR-42-312	Royal Air Maroc - RAM	AGA	CMN	Agadir-Al Massira International Airport (AGA/GMAA), Morocco	Casablanca-Mohamed V Airport (CMN/GMMN), Morocco
APR	military	47	19940804-0	Antonov 12	Russian Air Force	HTA		Chita Airport (HTA/UIAA), Russia	Bada AB, Russia
UNK	other	1	19940804-1	Beechcraft A100 King Air	Westchester Air	KAQW	HPN	North Adams-Harriman-and-West Airport, MA (KAQW), United States of America	White Plains-Westchester County Airport, NY (HPN/KHPN), United States of America
MNV	other	3	19940813-1	Lockheed C-130A Hercules	Hemet Valley Flying Service	HMT	HMT	Hemet-Ryan Field, CA (HMT), United States of America	Hemet-Ryan Field, CA (HMT), United States of America
UNK	cargo	7	19940731-0	Antonov 26B			LQBI	?	Bihac Airport (LQBI), Bosnia and Herzegovina
ENR	passDomestic	21	19940719-1	Embraer 110P1 Bandeirante	Alas Chiricanas	ONX		Colon-Enrique A. Jimenez Airport (ONX/MPEJ), Panama	Panama City (unknown airport), Panama
APR	passInternational	6	19940717-2	IRMA/Pilatus Britten-Norman BN-2B-26 Islander		BGI	FDF	Bridgetown-Grantley Adams International Airport (BGI/TBPB), Barbados	Fort de France-Lamentin Airport (FDF/TFFF), Martinique
APR	passDomestic	36	19950718-0	Douglas C-47A-80-DL	Armée de l'Air Malgache	MXT	TNR	Maintirano Airport (MXT/FMMO), Madagascar	Antananarivo-Ivato Airport (TNR/FMMI), Madagascar
APR	military	12	19950105-0	Lockheed L-1329-25 JetStar II	Imperial Iranian Air Force - IIAF	IFN	THR	Isfahan-Shahid Beheshti Airport (IFN/OIFM), Iran	Tehran-Mehrabad Airport (THR/OIII), Iran
ICL	cargo	1	19950111-1	Cessna 208B Super Cargomaster		FLG	PHX	Flagstaff-Pulliam Field, AZ (FLG/KFLG), United States of America	Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX), United States of America
APR	passDomestic	5	19950111-2	Learjet 35	Canada Jet Charters	YVR	ZMT	Vancouver International Airport, BC (YVR/CYVR), Canada	Masset Airport, BC (ZMT), Canada
APR	cargo	1	19950112-0	Cessna 208B Super Cargomaster		VIS	OAK	Visalia Airport, CA (VIS/KVIS), United States of America	Oakland International Airport, CA (OAK/KOAK), United States of America
ENR	cargo	1	19950115-0	Swearingen SA226-TC Metro II	City Air Cargo	NQN		Neuquén Airport, NE (NQN/SAZN), Argentina	?
UNK	military	6	19950116-1	Antonov 26	Força Aérea Popular de Angola			?	?
TOF	passDomestic	2	19950117-1	de Havilland Canada DHC-6 Twin Otter 300	Royal Nepal Airlines	KTM	RUM	Kathmandu-Tribhuvan Airport (KTM/VNKT), Nepal	Rumjatar Airport (RUM/VNRT), Nepal
ICL	passInternational	10	19950120-0	Dassault Falcon 20E	Leadair UniJet	LBG	SBZ	Paris-Le Bourget Airport (LBG/LFPB), France	Sibiu Airport (SBZ/LRSB), Romania
TOF	passDomestic	3	19950120-1	Let L-410UVP	Abakan Airlines	KJA	ABA	Krasnoyarsk Airport (KJA/UNKL), Russia	Abakan Airport (ABA/UNAA), Russia
APR	other	2	19950125-0	Cessna 550 Citation II	Viessmann Werke		EDFQ	?	Allendorf/Eder Airport (EDFQ), Germany
ICL	passDomestic	2	19950128-0	Beechcraft 200 Super King Air	SAL - Sociedade de Aviaçao Ligeira	CFF	LAD	Cafunfo Airport (CFF), Angola	Luanda Airport (LAD/FNLU), Angola
