phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
APR	other	10	19890225-2	Douglas C-118A (DC-6)	Circulo G. Albacian		TGU	?	Tegucigalpa-Toncontin Airport (TGU/MHTG), Honduras
ICL	cargo	2	19890228-1	Douglas C-47A-DK (DC-3C)	Transfair	CYAH		La Grande-LG-4 airstrip, QC (CYAH), Canada	Lac Bienville, QC, Canada
STD	other	2	19890306-0	Antonov	Ariana Afghan Airlines			?	?
UNK	military	5	19890310-0	Antonov 26	Força Aérea Popular de Angola			?	?
ICL	passDomestic	24	19890310-1	Fokker F-28 Fellowship 1000	Air Ontario	YHD	YWG	Dryden Municipal Airport, ON (YHD/CYHD), Canada	Winnipeg International Airport, MB (YWG/CYWG), Canada
APR	passDomestic	10	19890310-2	IRMA/Britten-Norman BN-2A Islander	Aero Condor		LIM	?	Lima-Jorge Chavez International Airport (LIM/SPIM), Peru
APR	other	2	19890315-0	NAMC YS-11A-300F	Mid Pacific Airlines	HUF	LAF	Terre Haute-Hulman Field, IN (HUF/KHUF), United States of America	Lafayette-Purdue University Airport, IN (LAF/KLAF), United States of America
APR	cargo	2	19890318-0	McDonnell Douglas DC-9-33RC	Evergreen International Airlines	FWH	TIK	Fort Worth-Carswell AFB, TX (FWH), United States of America	Oklahoma City-Tinker AFB, OK (TIK/KTIK), United States of America
APR	cargo	25	19890321-0	Boeing 707-349C	Transbrasil	MAO	GRU	Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG), Brazil	São Paulo-Guarulhos International Airport, SP (GRU/SBGR), Brazil
ENR	exec	3	19890410-0	Beechcraft 200 Super King Air	Southern Company Services	PNS	PDK	Pensacola Regional Airport, FL (PNS/KPNS), United States of America	Atlanta-DeKalb Peachtree Airport, GA (PDK/KPDK), United States of America
APR	passDomestic	22	19890410-1	Fairchild FH-227B		ORY	VAF	Paris-Orly Airport (ORY/LFPO), France	Valence-Chabeuil Airport (VAF/LFLU), France
STD	passDomestic	1	19890424-0	Xian Yunshuji Y-7	China Eastern Airlines	NGB	XMN	Ningbo Airport (NGB/ZSNB), China	Xiamen Airport (XMN/ZSAM), China
ICL	cargo	7	19890426-0	Sud Aviation SE-210 Caravelle 11R	Aerosucre Colombia	BAQ	BOG	Barranquilla-Ernesto Cortissoz Airport (BAQ/SKBQ), Colombia	Bogotá-Eldorado Airport (BOG/SKBO), Colombia
MNV	other	5	19890501-0	Antonov 2R	Aeroflot, Privolzhsk Civil Aviation Directorate			?	?
MNV	other	2	19890502-0	Douglas C-47A-90-DL	Monroe County Mosquito Control District	MTH	MTH	Marathon-Florida Keys Airport, FL (MTH/KMTH), United States of America	Marathon-Florida Keys Airport, FL (MTH/KMTH), United States of America
ENR	passDomestic	6	19890505-1	Britten-Norman BN-2A Trislander Mk.III-2	Aero Cozumel	CZA	CZM	Chichén Itzá Airport (CZA), Mexico	Cozumel Airport (CZM/MMCZ), Mexico
APR	other	1	19890506-1	Embraer 110P1 Bandeirante	Southern Express	MEM	MRC	Memphis International Airport, TN (MEM/KMEM), United States of America	Columbia-Maury County Airport, TN (MRC), United States of America
ENR	military	2	19890508-2	Handley Page HP-137 Jetstream T.2	Royal Navy - Fleet Air Arm (FAA)			?	?
APR	passDomestic	16	19890508-4	Beechcraft 99	Holmström Flyg	ARN	OSK	Stockholm-Arlanda Airport (ARN/ESSA), Sweden	Oskarshamn Airport (OSK/ESMO), Sweden
ENR	other	1	19890510-0	Beechcraft 200 Super King Air	Mesa Airlines	SMO	FMN	Santa Monica Airport, CA (SMO), United States of America	Farmington Municipal Airport, NM (FMN), United States of America
ENR	passDomestic	9	19890520-0	Cessna 208 Caravan I	Policía Nacional del Perú	TGI	LIM	Tingo Maria Airport (TGI/SPGM), Peru	Lima-Callao International Airport (LIM/SPIM), Peru
LDG	other	2	19890521-0	Consolidated PBY-5A Catalina	Enrico Recchi		LIMA	?	Torino-Aeritalia Airport (LIMA), Italy
APR	private	3	19890522-1	Douglas C-47A-25-DK	Condor Enterprise	AUZ		Aurora/Sugar Grove Airport, IL (AUZ), United States of America	Rockford (unknown airport), IL, United States of America
ENR	military	4	19890530-0	IAI Arava 201	Fuerza Aérea Mexicana			Badiraguato Airport, Mexico	?
APR	passInternational	176	19890607-2	McDonnell Douglas DC-8-62	Surinam Airways	AMS	PBM	Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands	Paramaribo-Zanderij International Airport (PBM/SMJP), Suriname
ENR	passDomestic	6	19890611-1	de Havilland Canada DHC-6 Twin Otter 300	Aerotaca Colombia - Aerotransportes Casanare	EYP	TME	El Yopal Airport (EYP/SKYP), Colombia	Tame Airport (TME/SKTM), Colombia
ENR	cargo	1	19890615-0	de Havilland Canada DHC-6 Twin Otter 200	Curtain Brothers PNG			?	?
TOF	passInternational	22	19890617-2	Ilyushin 62M	Interflug	SXF	SVO	Berlin-Schönefeld Airport (SXF/EDDB), Germany	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia
LDG	passDomestic	6	19890618-0	Antonov 26	Ariana Afghan Airlines	KBL	ZAJ	Kabul Airport (KBL/OAKB), Afghanistan	Zaranj Airport (ZAJ/OAZJ), Afghanistan
ENR	passDomestic	59	19890621-0	de Havilland Canada DHC-5D Buffalo	Fuerza Aérea del Peru - FAP	SRD		San Ramon Airport (SRD/SLRA), Bolivia	?
MNV	other	4	19890626-3	Douglas C-118A	Conifair Aviation	YVB	YVB	Bonaventure Airport, QC (YVB), Canada	Bonaventure Airport, QC (YVB), Canada
ENR	passDomestic	30	19890628-1	Fokker F-27 Friendship 600RF	Somali Airlines	HGA	MGQ	Hargeisa Airport (HGA/HCMH), Somalia	Mogadishu International Airport (MGQ/HCMM), Somalia
LDG	passDomestic	3	19890628-2	British Aerospace BAe-748-435 Srs. 2B	Cameroon Airlines	DLA	YAO	Douala Airport (DLA/FKKD), Cameroon	Yaoundé-Ville Airport (YAO/FKKY), Cameroon
TOF	other	2	19890629-0	Dassault Falcon 20DC	Phoenix Air	KVPC	MGM	Cartersville Airport, GA (KVPC), United States of America	Montgomery-Dannelly Field, AL (MGM/KMGM), United States of America
LDG	military	20	19890708-0	Antonov 12BP	Soviet Air Force		VVCR	?	Cam Ranh Airport (VVCR), Vietnam
MNV	other	10	19890719-0	Antonov 26	Aeroflot, Yakutsk Civil Aviation Directorate		PWE	?	Pevek Airport (PWE/UHMP), Russia
LDG	passDomestic	111	19890719-1	McDonnell Douglas DC-10-10	United Airlines	DEN	ORD	Denver-Stapleton International Airport, CO (DEN/KDEN), United States of America	Chicago-O'Hare International Airport, IL (ORD/KORD), United States of America
